Frequence,Quantite,Montant
1,120,265.2
1,48,322.08
10,2699,4481.67
2,228,363.34000000000003
5,436,1244.83
1,130,470.36
6,2070,2255.51
6,368,1372.8
1,129,89.06
1,60,63.0
1,82,131.9
1,526,2661.24
5,588,2357.6800000000003
4,446,1712.89
2,482,1589.82
4,938,1420.2
4,873,1034.78
5,571,1163.23
2,104,375.35
4,757,907.1
3,241,483.25
2,389,662.59
2,119,264.44
1,49,119.93
9,2871,3059.44
1,88,113.64
1,760,1837.92
3,881,434.34
3,765,2102.67
11,962,1999.02
3,179,529.62
3,405,1058.6200000000001
7,1006,2272.4
4,278,598.76
2,193,461.19
8,1160,1936.84
2,88,234.34000000000003
1,140,547.66
3,447,925.85
1,132,215.7
4,720,1309.6
2,117,316.25
1,143,279.05
2,489,636.51
6,1646,2068.15
1,97,137.1
1,210,321.92
1,71,165.75
6,735,1196.33
1,799,1064.28
1,299,463.38
2,139,340.93
5,1285,2383.2400000000002
1,92,139.56
2,62,123.8
2,159,538.8100000000001
1,235,475.37
5,1098,1957.32
3,501,815.32
3,117,356.85
2,161,251.21
11,1482,2467.63
6,2004,3543.26
4,308,673.26
8,2759,5905.64
5,730,2012.17
6,600,1383.18
2,131,276.42
5,784,1314.81
2,122,275.28
3,361,455.59000000000003
3,589,1055.35
6,1134,2102.09
2,91,330.45
1,278,174.37
2,146,270.6
4,525,974.54
1,251,241.09
9,676,1867.68
9,2696,4332.2
55,2087,8507.82
1,278,364.21999999999997
3,348,620.04
6,1410,2925.91
4,284,932.85
7,4019,1949.72
18,2046,4445.4
3,1831,2864.19
1,40,171.8
1,120,355.56
2,155,388.25
2,428,537.48
3,421,996.26
8,647,1461.65
1,19,103.25
16,675,3590.68
2,1543,2024.45
5,1317,2578.09
8,2668,4007.54
2,256,652.8
1,136,289.24
2,394,765.62
2,106,186.23
1,91,165.07
5,493,859.27
4,1478,2381.04
2,130,324.14
1,510,788.38
22,1260,2237.77
3,1014,1080.76
18,1834,5074.77
4,1537,2949.12
1,800,1432.0
2,412,1530.3600000000001
1,79,227.39
2,94,217.21
7,1428,2832.84
9,544,1653.42
1,12,35.400000000000006
4,353,859.71
1,240,168.63
1,217,138.6
1,73,114.11
5,792,1052.55
4,383,1042.26
1,91,157.05
1,444,237.36
9,761,1601.14
1,5,39.75
4,1297,1447.14
3,415,570.46
3,332,617.99
2,185,379.83
6,978,1740.6
2,577,883.15
1,189,221.97
1,125,393.33000000000004
1,168,213.96
1,400,660.0
90,6214,12006.65
12,10734,15021.5
4,437,1785.15
4,7026,601.56
3,104,406.08000000000004
3,264,553.44
1,152,394.44
2,214,412.78000000000003
5,993,1788.3600000000001
1,146,320.58000000000004
5,407,884.57
2,162,225.85
2,335,899.63
4,1403,2791.27
2,272,671.96
2,380,959.01
3,622,1006.98
1,96,114.56
1,96,344.90000000000003
2,241,609.85
1,166,443.6
6,1431,2984.49
6,886,2125.08
1,90,110.46
1,76,96.12
2,815,693.8100000000001
2,258,830.76
2,381,597.09
73,197420,279138.02
1,95,243.22
4,1018,1417.29
2,344,654.6
1,53,114.18
7,949,1937.6
4,1089,1932.23
2,120,291.05
4,466,848.22
2,47,247.15
9,1195,2529.93
2,228,285.74
1,35,107.95
4,602,771.17
2,466,637.89
5,740,1835.7
1,155,179.95
25,5384,9236.95
3,775,1269.99
2,337,411.53
2,454,765.55
5,1004,1736.4
1,341,604.75
6,2500,2548.2400000000002
16,13476,28754.11
3,76,498.95
2,80,52.0
5,853,1236.28
1,470,628.38
21,3621,5630.87
1,76,112.8
2,170,371.7
5,707,2114.33
4,265,591.55
1,34,172.9
7,1630,2078.95
2,181,188.60999999999999
5,615,1250.76
1,77,109.13000000000001
3,1342,2235.3
9,932,2549.37
17,1454,3292.14
1,183,318.17
7,1074,1514.57
1,100,179.0
3,621,1126.37
13,2484,4921.04
4,378,606.13
11,978,2868.8
3,315,917.07
11,1615,2666.36
1,229,160.19
4,521,867.38
2,604,329.68
5,1032,1602.13
3,219,663.81
1,120,187.92000000000002
6,693,1156.6
1,593,718.08
1,62,268.58
1,197,313.49
8,1132,2005.06
3,256,380.02
8,1405,2702.4900000000002
12,3764,9585.91
31,2263,6050.69
3,345,1164.55
7,601,1314.45
7,3820,3902.28
3,735,1448.21
6,841,1400.34
7,627,1099.98
5,1038,1220.26
1,84,328.2
5,1223,1415.75
1,260,389.64
1,211,563.15
2,486,638.05
11,2219,5010.28
1,416,738.96
1,160,420.5
4,419,1484.06
3,569,1625.97
1,40,89.2
2,118,255.9
1,341,300.52
1,190,278.3
3,135,254.11
6,1349,2473.37
2,52,192.60000000000002
8,7435,10673.1
2,490,876.42
1,82,139.26
3,1174,1011.9
11,3134,2538.3
2,306,730.86
3,84,386.15
2,310,447.68
1,114,200.10000000000002
2,237,289.99
2,84,77.4
2,421,679.4399999999999
1,116,197.64
4,699,745.06
1,2,6.2
1,91,228.99
7,673,1319.91
1,17,131.45000000000002
17,6021,8020.93
3,150,173.74
1,146,157.7
12,3655,4339.74
1,175,193.14
3,370,845.55
1,121,353.27
4,115,554.65
1,330,193.39000000000001
8,2147,2741.17
11,1016,2087.88
2,67,155.43
2,744,778.5
1,5,271.85
2,653,1010.34
3,324,657.8
2,109,272.07
4,253,507.29
1,20,48.800000000000004
3,88,321.43
4,525,1127.71
12,991,2226.91
3,2172,2139.76
4,452,697.55
1,168,196.28
6,734,1720.3
3,45,102.44999999999999
4,1436,1649.5
1,31,62.85
6,1778,3295.76
4,1166,2824.69
4,1833,3189.81
1,120,309.4
25,5694,7930.54
1,293,325.75
2,325,511.35
6,1747,2836.69
2,82,475.8
7,1832,2759.83
2,267,645.65
3,714,1311.3799999999999
2,464,1173.12
4,671,1353.74
1,232,170.32
1,117,125.79
2,772,841.1999999999999
1,132,266.76
2,108,52.2
11,6751,14353.4
3,328,710.28
8,1405,2953.59
2,550,725.7
1,119,327.25
4,185,522.38
1,168,519.68
2,558,1465.3200000000002
9,802,1485.54
3,373,706.19
1,316,255.4
2,158,589.7
6,790,761.59
1,724,765.3199999999999
1,160,364.8
1,1100,1862.0
1,184,369.2
1,90,135.9
1,51,125.65
2,505,554.38
2,799,1237.8500000000001
1,265,655.75
20,4851,11138.710000000001
2,279,468.77000000000004
4,468,1366.38
6,1020,1303.52
9,661,1421.29
1,218,332.66
5,1536,2810.63
2,1985,1025.44
2,287,616.15
7,1691,3501.1
1,132,277.8
4,238,434.35
198,80429,136275.72
2,971,867.85
4,1743,1227.43
2,112,307.48
4,1136,1268.98
2,675,1610.15
2,509,977.77
2,953,1316.07
1,418,749.1
1,64,310.05
1,136,223.88
3,1166,2372.86
4,414,864.6800000000001
1,79,313.53
2,1042,1890.94
1,935,1784.71
8,4085,8137.02
3,484,1621.88
12,2815,5900.25
1,22,100.9
2,179,290.82
6,673,1101.97
1,136,371.2
1,311,311.69
11,3355,8099.49
1,225,289.82
1,127,336.17
1,34,58.49
3,129,499.68
4,494,695.42
2,221,221.27
9,3708,7044.68
1,44,126.7
5,1176,1487.8
1,143,206.21
2,365,599.0
1,187,191.32
1,140,463.8
1,127,147.59
4,250,1592.06
3,644,1116.57
1,28,114.77
3,369,1314.45
1,44,114.39
1,380,279.94
6,232,774.86
5,525,1931.42
1,97,102.12
2,60,213.27
2,260,296.75
2,128,326.4
1,141,334.54
2,103,233.23000000000002
3,1120,546.1999999999999
2,270,429.87
1,218,490.52
4,862,1641.76
1,629,1245.93
28,4245,6314.87
1,301,497.14
1,69,156.91
3,642,1261.78
1,184,308.94
2,231,423.04
2,151,260.17
1,76,170.04
1,63,125.58
3,189,496.21000000000004
1,159,266.0
9,847,1914.82
4,543,905.04
11,2862,6783.86
10,920,1661.33
1,189,377.01
3,225,464.2
4,565,1066.1499999999999
4,459,627.13
2,372,518.28
4,401,668.14
3,2968,4959.1
10,1693,2583.37
8,2422,4308.61
1,245,252.73000000000002
3,327,465.55
6,217,705.49
47,9209,19914.44
1,104,180.35
1,30,135.93
1,300,537.0
17,2795,7700.2300000000005
2,114,735.66
15,3450,5194.82
1,222,343.62
4,195,384.05
1,63,121.17000000000002
3,1224,1782.09
3,1011,1391.61
1,82,215.78
3,986,697.79
2,198,302.1
2,668,1489.5
11,1069,2124.9900000000002
9,604,1337.72
4,262,301.84
48,28920,54534.14
4,763,987.86
1,56,370.79999999999995
4,1383,3158.13
1,317,893.59
3,954,1744.76
2,364,553.36
1,520,1109.53
1,36,106.2
2,269,982.07
3,491,1043.41
1,455,748.87
1,447,773.03
1,571,880.85
32,5105,9743.11
4,389,895.61
5,190,504.8
1,38,88.2
1,470,306.94
2,460,1160.07
6,1359,2420.84
1,208,381.32
1,346,480.71
2,135,457.81
6,3760,4597.02
4,1079,1370.6
1,120,219.39000000000001
1,170,248.08
3,121,39916.5
1,343,410.48
3,80,876.0
2,241,317.53
2,329,703.36
2,637,1027.44
7,1211,2298.93
5,1181,1422.52
6,170,319.5
3,490,1159.25
1,131,484.95
4,246,996.1
3,710,1567.48
3,2385,3608.94
10,3096,2760.56
1,157,340.11
4,648,1352.75
5,1948,1551.78
1,1440,244.8
1,88,266.4
1,296,358.82
2,199,457.72
3,800,1633.78
2,1195,2199.31
2,233,184.19
15,6193,11528.48
1,251,406.53
4,1343,1471.0
11,1794,3447.4
1,197,330.11
5,679,977.9300000000001
3,680,982.42
8,887,1387.99
1,43,139.05
4,776,1286.7
2,208,178.96
7,1572,2354.25
1,365,498.74
1,150,259.45
17,3050,6580.44
4,756,1194.73
2,1473,1327.16
1,366,623.5
1,187,301.29
1,128,520.8000000000001
10,3658,5314.47
13,2704,4745.69
1,198,329.25
1,104,296.42
3,597,961.49
3,2392,1936.07
1,198,401.40000000000003
30,11441,18641.010000000002
1,84,158.16
2,186,304.47
3,360,843.05
1,160,487.75
1,67,163.0
1,52,106.56
1,290,1289.5
5,1611,1624.05
1,145,135.75
1,454,224.14
1,30,40.5
5,1938,2206.95
1,36,87.5
3,544,689.4799999999999
2,253,622.85
2,223,406.76
1,666,310.62
2,215,411.41
15,1886,4762.18
41,6149,16225.39
3,918,1044.32
1,144,499.32
15,5703,7616.53
1,1404,3861.0
3,469,1079.6100000000001
2,120,193.64
4,396,1268.7
5,1210,1236.54
6,1753,1827.8
1,258,316.58
2,378,653.24
4,162,420.29999999999995
5,316,870.12
1,228,331.18
2,240,894.4100000000001
1,36,101.8
2,272,328.35
8,1254,1661.44
3,225,734.94
1,28,96.6
11,3329,5756.89
1,45,305.75
6,1393,1778.96
1,43,403.25
1,440,585.0
2,213,755.75
2,152,322.08
1,226,409.40000000000003
1,71,154.41
5,750,1219.4
4,2255,3386.71
2,351,429.6
2,686,612.06
1,196,197.0
12,1324,2247.51
1,269,321.05
4,1071,1412.32
3,692,1071.99
2,594,780.59
5,1369,1706.57
8,1818,1756.44
1,185,316.68
2,405,631.57
3,1784,2515.84
2,247,514.15
1,160,356.0
13,3577,6688.46
11,6171,10484.99
2,522,740.78
5,866,918.1999999999999
1,275,300.36
1,489,890.85
1,55,98.45
1,46,317.15
2,142,623.16
7,885,1810.77
1,270,254.82
1,73,178.95000000000002
1,89,156.51
1,265,393.74
2,612,1506.1200000000001
1,18,119.3
5,944,1717.36
1,26,408.8
7,1521,2379.49
15,1262,2507.07
2,310,721.94
2,619,716.57
1,498,615.14
1,64,135.31
1,205,255.89999999999998
1,189,290.51
1,154,113.12
9,1211,2332.15
1,55,240.55
2,433,486.69
5,775,2306.52
3,1008,939.78
18,4501,7943.22
14,2102,4623.3
1,56,180.94
6,1766,3672.86
3,292,641.94
12,3116,4799.9
6,2947,3907.01
1,292,496.44
12,2775,5070.35
1,248,574.02
8,104,694.4000000000001
3,810,1174.35
1,37,205.3
1,175,310.47
91,38194,60767.9
4,516,924.85
1,25,52.0
1,313,327.97
2,862,570.5
1,100,165.0
1,642,312.62
1,175,204.5
1,326,267.13
3,1181,2748.31
1,416,679.68
1,232,162.29
1,386,311.71
1,116,208.75
3,486,1049.7
2,1312,714.96
4,652,1661.06
1,344,1028.56
3,273,348.72
1,80,173.97
2,416,574.07
1,812,2020.52
1,283,406.09
1,84,364.5
3,116,563.94
1,81,393.54
1,144,252.42000000000002
1,130,201.60000000000002
1,84,158.04
2,327,473.81
1,51,115.65
7,753,1960.1100000000001
2,343,777.02
2,45,277.05
10,1673,2766.5
22,7050,8347.2
1,223,427.93
1,336,418.92
1,144,326.0
2,493,913.19
7,1084,2314.32
2,621,602.51
4,1057,1877.59
1,230,446.94000000000005
7,830,2386.05
1,2924,2007.3999999999999
12,500,2415.91
1,126,168.0
3,619,1233.3600000000001
7,2305,3703.29
5,376,1690.2600000000002
2,171,596.85
6,4012,5955.71
2,596,642.41
1,161,316.88
1,446,394.14
1,88,140.54
1,400,500.0
4,1277,1535.53
2,150,231.86
4,910,2183.54
1,17,107.45
1,122,288.18
1,20,94.0
2,769,1345.53
3,611,815.77
5,390,716.2
2,693,626.35
1,193,349.1
2,254,510.71000000000004
4,558,1056.44
1,106,267.18
8,1200,3450.84
4,530,1358.88
1,108,190.53
3,443,774.9000000000001
1,575,572.8100000000001
4,2090,3984.32
1,284,508.8
1,230,135.86
4,500,950.36
2,38,97.7
1,101,43.5
2,554,383.34
5,674,1447.39
3,1013,1483.14
1,102,93.78
2,380,397.35
1,65,171.19
2,534,533.3
5,647,1041.48
1,54,149.29
3,613,1122.53
1,79,200.16
1,59,156.57999999999998
3,197,383.68
1,120,594.0
7,1663,3236.91
2,764,1418.26
1,58,113.5
1,85,155.17
1,232,494.64
3,812,974.52
1,376,429.84
3,283,538.73
7,845,1388.37
1,86,179.1
3,660,447.22
1,132,237.07
1,156,161.64
1,109,216.76
3,172,234.6
1,106,126.14
1,350,1048.85
18,1257,7354.62
1,246,334.53
3,310,524.88
2,155,467.51
2,153,538.55
1,266,469.48
1,251,371.56
7,672,1771.2
1,319,454.10999999999996
2,585,1441.42
1,303,905.5
11,5019,11014.96
4,295,233.81
4,3152,3594.31
3,1306,2575.0
1,73,91.32000000000001
3,608,1134.28
6,1646,3100.09
2,483,659.4599999999999
5,560,2001.8
2,1148,1299.23
2,624,1262.2
27,6105,13316.4
4,572,1131.56
10,4232,6923.98
1,74,147.09
1,33,52.83
5,2390,3610.96
3,848,979.26
1,162,492.36
6,440,1000.27
1,2,250.0
5,271,909.23
2,68,121.0
19,5709,14758.220000000001
11,2160,4139.46
3,27,62.43
1,293,267.03
8,1273,1942.45
1,314,343.5
8,1836,3000.2
2,573,398.84
1,132,412.01000000000005
1,4,440.0
3,414,823.42
2,24,148.44
8,992,2429.78
1,123,229.33
11,3495,3992.68
4,950,1502.35
2,1105,2007.44
4,519,1571.03
3,289,807.57
4,143,536.4
1,29,110.92
1,410,538.46
1,200,213.3
1,49,85.13000000000001
1,86,127.86
9,3109,3546.71
2,163,292.71999999999997
14,4032,4954.84
3,695,1689.51
4,295,575.63
1,218,436.06
1,60,90.12
1,451,437.23
1,74,217.2
16,4409,4802.18
1,236,279.77
1,219,473.65000000000003
4,267,800.59
1,39,134.55
3,1441,1361.44
2,60,173.16
1,223,186.01
3,461,758.29
5,666,1375.71
12,2067,4165.52
4,264,650.4300000000001
7,1229,2552.86
2,362,599.5
4,349,702.25
1,404,940.6700000000001
3,89,258.88
1,52,127.1
2,120,348.6
10,283,721.63
3,453,682.9100000000001
4,314,725.11
1,320,455.3
4,312,913.6800000000001
3,243,478.53000000000003
1,354,388.58
1,60,199.8
5,983,1771.78
5,561,1406.59
1,279,324.57
1,160,240.68
2,718,761.74
14,4983,6776.56
9,1141,1297.8700000000001
1,96,48.480000000000004
1,159,216.39
5,441,1198.23
9,892,2920.16
1,202,104.76
4,714,1093.68
1,148,298.48
1,66,112.46000000000001
11,502,1570.45
2,52,195.15
23,5508,10399.74
4,453,776.85
1,136,336.40000000000003
3,915,1553.18
4,501,1293.03
9,1674,3709.56
1,125,301.03
4,357,588.13
4,1188,1534.26
2,766,675.8
9,1894,2870.2400000000002
2,800,1186.35
8,2109,3285.31
1,99,243.55
2,284,724.76
1,128,223.36
1,323,425.32
15,6607,12515.66
4,1562,1887.2
3,246,664.0
4,557,813.0
1,255,611.59
3,394,447.64000000000004
2,221,657.35
2,192,816.0
3,479,646.3
1,208,337.74
2,1200,877.4399999999999
2,475,922.53
1,324,560.67
4,343,748.5
1,24,30.0
5,242,1024.1000000000001
1,111,306.45
9,1050,1600.86
2,236,309.8
1,106,138.14
1,157,386.43
2,1666,2242.01
1,240,301.32
1,72,76.32000000000001
4,342,684.34
1,91,173.05
7,1699,2657.13
4,1514,2881.02
4,1274,2111.89
3,527,323.69
3,2252,3435.76
1,319,657.23
1,184,352.7
4,1170,781.28
3,952,1333.68
5,816,1426.16
1,131,193.75
9,1310,2993.1
2,84,254.1
2,408,239.76
1,72,136.8
1,138,191.04
13,1676,6464.4
2,212,409.98
8,1028,2736.46
1,113,309.65
2,357,696.68
4,923,1542.14
1,66,211.5
4,1028,2293.62
1,62,143.1
4,321,1060.56
4,605,945.58
7,1267,3364.2400000000002
1,121,133.25
5,486,1072.3600000000001
2,150,356.7
2,187,330.88
4,744,1118.81
1,70,150.3
13,2724,5043.96
1,281,598.73
1,409,507.08
5,1026,2222.56
1,87,203.1
2,73,218.25
1,221,415.25
7,3065,5178.96
1,28,85.0
3,689,1120.88
2,215,294.12
1,62,162.3
2,346,1339.45
8,599,1205.1200000000001
16,2982,4812.42
1,472,449.12
1,152,154.88
4,216,784.46
1,120,34.8
4,421,1094.59
1,178,196.88
3,480,974.04
1,51,149.31
3,18028,44534.3
8,1786,2465.48
7,1978,2637.38
1,144,79.2
3,199,458.57
6,1427,2364.25
4,242,532.96
2,491,714.42
1,47,205.25
3,60,253.04
2,251,583.75
2,271,1086.92
6,2050,3279.97
1,170,315.06
3,244,621.8299999999999
26,29672,56252.72
1,311,635.6800000000001
1,87,270.8
1,68,104.9
1,138,241.62
4,378,1047.11
3,220,475.28000000000003
3,180,345.46
3,864,2614.7400000000002
1,212,246.3
5,1612,2328.9700000000003
3,3364,4932.2
3,540,948.05
1,438,351.3
1,114,220.85
2,731,1612.69
3,553,965.61
1,581,610.01
8,860,2710.56
3,872,2192.4
3,955,884.14
2,335,699.08
3,570,1063.95
1,290,415.82000000000005
13,2567,4206.39
17,3387,5528.4800000000005
3,602,784.58
3,430,903.9
4,1343,3734.9700000000003
5,301,515.77
4,861,1391.98
6,1071,2218.62
5,922,1801.14
2,603,1303.9099999999999
4,1271,1945.33
5,1856,2100.6
4,1357,1905.45
1,128,206.98
2,202,570.96
2,375,885.47
1,220,532.94
3,963,1654.31
14,882,1836.0900000000001
2,996,636.14
1,415,576.0
3,1105,801.76
1,465,836.79
4,963,2231.25
4,439,954.09
1,26,137.37
1,189,391.98
19,18368,33643.08
3,675,1048.49
2,396,355.56
4,942,1224.06
1,27,118.95000000000002
1,134,130.73999999999998
8,1926,3711.77
2,449,389.27
2,302,238.85
2,48,160.71
1,135,110.8
12,939,2974.65
5,470,712.24
27,11002,16386.31
1,308,297.0
5,1167,1438.85
8,440,977.21
8,2544,3165.36
4,585,832.88
2,19,68.84
6,1192,1936.3200000000002
3,368,895.13
1,126,230.53
15,2041,3806.1
2,175,149.64
1,335,354.09000000000003
2,212,360.93
7,2534,4405.88
2,371,493.28
1,211,343.28000000000003
5,260,501.39000000000004
4,264,514.08
2,223,396.48
1,109,349.35
1,147,181.09
1,67,162.64
2,209,427.57
1,441,521.97
2,167,262.9
1,94,179.17
2,261,222.05
5,570,1388.88
1,39,56.25
1,221,351.11
3,377,361.9
7,2410,5126.76
1,84,164.68
7,544,1567.69
3,508,966.6
1,98,191.94
8,1015,1232.18
2,185,264.62
8,757,1528.09
1,42,123.1
2,153,334.23
2,545,639.89
3,94,163.55
1,166,336.03000000000003
1,138,369.5
1,122,127.08
1,93,207.15
1,139,426.63
8,2325,2495.87
3,885,1107.46
1,114,108.03999999999999
1,73,145.35
5,240,404.58
14,4727,6100.01
1,4,35.8
1,232,337.44
1,50,325.1
1,52,181.0
1,898,1708.24
2,567,955.24
2,284,364.72
4,729,1765.51
2,313,708.22
4,399,806.57
8,892,1659.3799999999999
14,2135,4416.26
1,211,428.89
1,33,104.35
2,298,470.76
4,453,845.64
2,211,418.83
3,124,666.1
1,116,314.1
12,1716,4194.9
1,106,307.82000000000005
7,2262,3442.15
1,243,371.01
2,277,430.94
2,1016,1054.73
1,888,1098.78
3,1560,2398.86
8,1866,3408.48
4,892,1475.02
10,1843,2837.67
2,1086,1142.42
1,268,168.12
7,1556,1451.28
1,181,158.03
2,443,792.11
1,17,41.989999999999995
7,2045,2788.87
1,177,427.07
6,384,1060.68
5,2041,3089.97
3,5110,12393.7
5,1185,2735.37
4,300,615.39
1,84,101.4
4,1393,1701.94
3,323,478.78
4,378,992.71
3,210,407.5
16,2042,3362.71
3,799,1415.29
47,15536,37130.6
3,265,662.38
3,908,705.1
8,620,1508.76
1,102,211.88
2,190,408.90000000000003
9,1733,3786.2400000000002
3,487,851.01
1,261,628.28
3,358,719.81
1,378,245.96
1,338,439.65999999999997
1,243,236.09
6,1147,934.62
62,40207,72882.09
1,283,331.24
2,423,548.94
20,3539,8816.4
3,242,437.7
2,716,758.92
3,428,855.02
3,244,471.78000000000003
3,684,1313.55
3,1584,3166.4
5,755,1197.27
4,503,773.99
4,897,1340.7
2,144,256.44
3,793,1111.79
1,278,137.9
1,282,362.06
2,1793,1511.95
1,380,783.9
1,22,134.8
1,347,664.85
7,863,2263.12
6,643,1459.8600000000001
4,800,1153.62
1,262,335.32
1,231,372.09
5,936,1521.87
2,457,852.15
1,180,326.24
1,140,584.3199999999999
1,48,122.39999999999999
10,1435,2234.73
1,16,79.2
3,864,1352.0
2,128,217.16
5,1477,2806.9
2,908,1317.62
1,216,436.18
5,636,981.51
5,511,1121.39
2,154,315.06
3,628,817.86
1,20,17.0
4,647,1078.23
1,155,320.62
1,87,185.04999999999998
7,613,2005.63
3,434,731.9
1,757,1290.7
3,942,1842.14
6,558,1429.64
1,123,302.36
1,330,336.96
1,74,108.38
7,1176,3204.1600000000003
1,615,842.5
2,612,611.88
3,733,1337.48
4,574,195.73999999999998
1,176,161.38
1,43,135.75000000000003
8,1001,1667.97
1,248,612.78
1,130,232.21
2,240,423.36
4,878,1309.14
2,586,867.11
4,1128,684.4200000000001
1,170,307.78
1,48,249.0
1,124,289.35
4,2125,6287.77
1,323,656.25
5,988,1880.22
6,1802,3506.54
33,8887,14589.04
2,371,618.09
1,209,517.55
3,440,709.38
3,330,635.41
2,730,725.18
1,238,620.4
1,422,535.34
6,919,2424.94
1,16,175.2
11,3123,3799.4900000000002
3,427,734.13
1,246,375.0
1,72,76.32000000000001
2,308,280.52
5,1047,2053.02
1,642,1829.04
5,1073,1824.23
9,1308,3122.04
3,347,656.69
1,236,348.2
2,1162,1025.44
19,2599,5575.56
1,4,37.4
2,192,856.6
3,433,822.48
27,1892,3787.6
4,1325,1822.97
6,1770,1885.05
1,24,73.2
5,787,1140.21
6,575,1418.32
3,651,1009.5500000000001
4,533,1037.59
1,95,331.95
1,94,197.9
1,99,215.83
8,5867,10254.18
1,152,305.54
4,3791,6617.65
1,113,338.71000000000004
6,561,1158.79
2,260,529.41
12,3020,4006.94
15,5048,6911.4400000000005
4,782,981.86
2,134,215.48
1,88,215.08
13,3351,5180.52
1,219,314.45
1,128,400.68
2,523,1080.6200000000001
4,1286,1863.47
1,191,365.27
4,262,592.9
1,231,405.71
4,513,754.78
4,272,537.0600000000001
1,140,394.38
2,333,664.26
5,1179,2262.62
17,7558,21076.3
1,154,547.02
2,244,690.34
1,48,159.0
3,420,1062.75
1,104,242.35
1,254,914.9300000000001
2,91,304.25
7,2088,3084.68
3,717,864.86
1,365,846.72
4,1116,1295.3
5,493,1096.32
3,192,255.12
1,90,314.22
2,318,1010.6
2,365,542.03
4,550,990.88
3,174,536.6800000000001
4,329,857.31
1,184,432.2
2,228,414.2
2,1641,3718.8
13,1453,2607.87
7,1982,3603.21
2,110,409.1
2,855,1522.75
3,1014,1413.66
1,182,114.56
1,78,152.94
5,950,1800.07
2,208,389.44
2,3233,3683.86
8,1767,2619.91
1,581,752.4300000000001
1,1,21.95
5,2994,5203.51
1,311,1035.45
4,306,746.83
9,2644,5347.0
7,398,861.89
2,532,617.65
1,688,1141.24
4,1037,1414.24
1,224,411.7
1,153,337.75
1,336,559.87
1,420,810.6000000000001
1,114,566.38
3,1054,1509.58
1,934,2062.06
1,114,168.3
5,1234,1569.11
2,544,823.97
1,298,142.5
1,191,302.25
10,982,2248.9900000000002
4,841,1328.55
1,206,301.9
3,198,598.2
1,158,233.22
3,2659,5360.63
1,256,361.21999999999997
6,487,632.27
4,8000,2560.0
2,467,706.57
2,394,616.26
2,165,274.15000000000003
1,75,226.37
8,1484,2938.91
3,890,1341.65
1,199,328.15
1,72,404.40000000000003
2,732,1038.46
5,135,373.65000000000003
2,231,326.75
1,50,207.50000000000003
3,282,428.68
3,194,594.24
14,709,3110.96
6,2535,3813.62
3,147,251.91
7,801,1593.2
22,32184,26626.8
1,87,151.05
1,94,214.79999999999998
1,23,109.95
1,501,549.07
4,1398,1971.87
4,157,322.41
2,195,370.47999999999996
1,18,101.10000000000001
1,289,575.41
2,353,887.65
7,813,1467.11
1,9,53.5
4,545,1116.47
1,90,153.9
2,300,494.44
23,2006,6675.71
2,150,395.8
3,93,211.77
3,246,658.88
4,1302,2027.5
9,1183,1750.92
6,2144,3512.53
4,421,896.66
5,351,734.77
1,52,109.36000000000001
2,280,707.04
9,504,1540.42
1,256,327.3
2,647,804.49
2,260,497.43
3,1031,1551.58
4,647,1320.56
2,166,367.93
2,239,465.08
2,694,987.01
1,1500,676.2
3,267,362.95
4,1410,2157.4
1,1524,1780.59
2,475,668.36
2,260,584.5
3,261,555.89
2,224,317.2
1,44,94.36
4,1242,1382.07
1,203,221.19
13,1576,3046.21
5,2604,1555.34
5,1476,1486.9
2,758,1705.8
2,246,406.77
1,172,303.93
12,3882,4098.32
2,149,299.6
1,114,177.5
1,157,443.05
2,187,167.25
1,122,163.07
10,1124,2126.93
5,1306,2028.88
2,132,214.65
1,73,151.83
1,148,262.2
2,27,126.25
1,187,210.35
3,672,1051.4
3,288,675.27
6,436,972.23
51,33704,34684.4
1,230,346.12
1,88,133.56
1,199,302.7
10,1243,1908.25
2,156,241.06
1,9,284.55
1,103,300.85
3,453,642.81
1,276,287.4
1,106,184.26
7,767,1522.25
5,463,798.35
5,2018,3640.67
2,173,381.2
3,446,616.79
4,407,654.67
1,111,230.51
2,80997,168472.5
1,223,259.01
1,78,188.89000000000001
2,367,707.69
1,200,311.92
1,120,266.97
1,2,5.9
7,988,1841.18
5,1148,2158.37
1,140,208.36
18,2154,3482.7400000000002
3,879,814.72
1,49,151.42
3,16,136.0
4,1163,1422.4
3,963,1314.68
7,789,1603.46
1,31,74.9
4,273,650.43
4,531,762.39
1,141,223.95000000000002
3,196,316.11
7,941,1871.3400000000001
4,319,544.3
7,1415,2494.46
3,224,331.0
2,102,300.83
1,455,769.29
1,346,220.62
1,44,139.35
2,200,404.3
1,235,363.65
3,728,498.8
1,478,731.5
4,1164,1351.63
1,675,826.53
3,337,684.41
3,1111,1599.52
6,1396,2965.69
2,45,100.97
2,127,365.45
6,123,400.86
4,569,1431.93
1,524,484.38
1,576,777.6
2,42,90.30000000000001
1,64,363.7
1,92,248.1
3,413,948.26
4,407,874.59
5,833,1627.13
1,58,101.69999999999999
1,96,162.7
2,327,484.32
2,53,212.98
3,558,1046.57
21,4265,9418.470000000001
26,7397,13027.45
1,106,290.36
1,106,228.06
1,171,244.41
1,198,455.25
7,915,1244.59
3,2016,6748.8
3,612,1095.56
1,356,593.75
1,251,548.97
4,477,1388.81
1,46,119.62
1,78,339.3
2,549,787.15
